02.12.2012 23:37:37   A1  0,0  A2  0,0  D1  0,0  D2  0,0
03.12.2012 15:58:05 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:18 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:19 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:20 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:24 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:25 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:26 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:37 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:38 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:39 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:40 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:41 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:42 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:43 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:44 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:45 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:54 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:55 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:56 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:57 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:58 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:59 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:20 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:24 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:25 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:26 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:27 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:28 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:29 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:30 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:31 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:32 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:33 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:34 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:35 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:36 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:37 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:38 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:39 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:40 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:59:41 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
